Index,,ISO3 Alpha-code,Subregion,Region,Continent,"More developed regions
901","Less developed regions
902","Least developed countries
941","Less developed regions, excluding least developed countries
934","Less developed regions, excluding China
948","Land-Locked Developing Countries (LLDC)
1636","Small Island Developing States (SIDS)
1637","High-income Countries
1503","Middle-income Countries
1517","Upper-middle-income Countries
1502","Lower-middle-income Countries
1501","Low-income Countries
1500","No income group available
1518",Max(HIV) for males,Max(HIV) for females,Max(HIV) for both sexes,Year for max(HIV) for both sexes,Estimates of mortality age pattern,Projection of life expectancy at birth
99,Kuwait,KWT,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,1503,,,,,,0.09,0.04,0.06,2017,,
100,Lebanon,LBN,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,,1517,1502,,,,0.08,0.02,0.05,2017,,
101,Oman,OMN,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,1503,,,,,,,,,,,
102,Qatar,QAT,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,1503,,,,,,0.17,0.08,0.12,2017,,
103,Saudi Arabia,SAU,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,1503,,,,,,,,,,,
104,State of Palestine,PSE,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,,1517,,1501,,,,,,,,
105,Syrian Arab Republic,SYR,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,,,,,1500,,,,,,,
106,Turkey,TUR,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,,1517,1502,,,,,,,,,
107,United Arab Emirates,ARE,Western Asia,Northern Africa and Western Asia,Asia,,902,,934,948,,,1503,,,,,,,,,,,
108,Yemen,YEM,Western Asia,Northern Africa and Western Asia,Asia,,902,941,,948,,,,,,,1500,,,,,,,
109,CENTRAL AND SOUTHERN ASIA,,,,,,,,,,,,,,,,,,,,,,,
110,Central Asia,   ,,,,,,,,,,,,,,,,,,,,,,
111,Kazakhstan,KAZ,Central Asia,Central and Southern Asia,Asia,,902,,934,948,1636,,,1517,1502,,,,0.31,0.14,0.23,2017,,
112,Kyrgyzstan,KGZ,Central Asia,Central and Southern Asia,Asia,,902,,934,948,1636,,,1517,,1501,,,0.26,0.14,0.20,2017,,
113,Tajikistan,TJK,Central Asia,Central and Southern Asia,Asia,,902,,934,948,1636,,,,,,1500,,0.37,0.14,0.26,2017,,
114,Turkmenistan,TKM,Central Asia,Central and Southern Asia,Asia,,902,,934,948,1636,,,1517,1502,,,,,,,,,
115,Uzbekistan,UZB,Central Asia,Central and Southern Asia,Asia,,902,,934,948,1636,,,1517,,1501,,,0.34,0.18,0.26,2017,,
116,Southern Asia,   ,,,,,,,,,,,,,,,,,,,,,,
117,Afghanistan,AFG,Southern Asia,Central and Southern Asia,Asia,,902,941,,948,1636,,,,,,1500,,,,,,,
118,Bangladesh,BGD,Southern Asia,Central and Southern Asia,Asia,,902,941,,948,,,,1517,,1501,,,0.02,0.01,0.01,2017,,
119,Bhutan,BTN,Southern Asia,Central and Southern Asia,Asia,,902,941,,948,1636,,,1517,,1501,,,,,,,,
120,India,IND,Southern Asia,Central and Southern Asia,Asia,,902,,934,948,,,,1517,,1501,,,0.59,0.39,0.50,1999,,
121,Iran (Islamic Republic of),IRN,Southern Asia,Central and Southern Asia,Asia,,902,,934,948,,,,1517,1502,,,,0.16,0.06,0.11,2016,,
122,Maldives,MDV,Southern Asia,Central and Southern Asia,Asia,,902,,934,948,,1637,,1517,1502,,,,,,,,,
123,Nepal,NPL,Southern Asia,Central and Southern Asia,Asia,,902,941,,948,1636,,,,,,1500,,0.33,0.15,0.24,2005,,
124,Pakistan,PAK,Southern Asia,Central and Southern Asia,Asia,,902,,934,948,,,,1517,,1501,,,0.17,0.08,0.13,2017,,
125,Sri Lanka,LKA,Southern Asia,Central and Southern Asia,Asia,,902,,934,948,,,,1517,,1501,,,0.05,0.02,0.04,2007,,
126,EASTERN AND SOUTH-EASTERN ASIA,,,,,,,,,,,,,,,,,,,,,,,
127,Eastern Asia,   ,,,,,,,,,,,,,,,,,,,,,,
128,China,CHN,Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,,,,,1517,1502,,,,0.12,0.06,0.04,2007.00,,
129,"China, Hong Kong SAR",HKG,Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,,,,1503,,,,,,,,,,,
130,"China, Macao SAR",MAC,Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,,,,1503,,,,,,,,,,,
131,"China, Taiwan Province of China",TWN,Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,,,,1503,,,,,,,,,,,
132,Dem. People's Republic of Korea,PRK,Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,,,,,,1500,,,,,,,
133,Japan,JPN,Eastern Asia,Eastern and South-Eastern Asia,Asia,901,,,,,,,1503,,,,,,0.07,0.01,0.04,2017,,
134,Mongolia,MNG,Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,1636,,,1517,,1501,,,0.05,0.02,0.03,2012,,
135,Republic of Korea,KOR,Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,,1503,,,,,,,,,,,
136,South-Eastern Asia,   ,,,,,,,,,,,,,,,,,,,,,,
137,Brunei Darussalam,BRN,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,,1503,,,,,,,,,,,
138,Cambodia,KHM,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,941,,948,,,,1517,,1501,,,2.36,1.25,1.73,1998,,Yes
139,Indonesia,IDN,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,,,1517,,1501,,,0.54,0.31,0.42,2017,,
140,Lao People's Democratic Republic,LAO,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,941,,948,1636,,,1517,,1501,,,0.33,0.26,0.30,2012,,
141,Malaysia,MYS,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,,,1517,1502,,,,0.84,0.17,0.50,2001,,
142,Myanmar,MMR,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,941,,948,,,,1517,,1501,,,1.12,0.53,0.77,2007,,Yes
143,Philippines,PHL,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,,,1517,,1501,,,0.22,0.02,0.12,2017,,
144,Singapore,SGP,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,1637,1503,,,,,,0.44,0.05,0.25,2017,,
145,Thailand,THA,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,,,1517,1502,,,,3.03,1.26,2.00,1997,,Yes
146,Timor-Leste,TLS,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,941,,948,,1637,,1517,,1501,,,,,,,,
147,Viet Nam,VNM,South-Eastern Asia,Eastern and South-Eastern Asia,Asia,,902,,934,948,,,,1517,,1501,,,0.53,0.25,0.37,2010,,
148,LATIN AMERICA AND THE CARIBBEAN,   ,,,,,,,,,,,,,,,,,,,,,,
149,Caribbean,   ,,,,,,,,,,,,,,,,,,,,,,
150,Anguilla,AIA,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,,,,,,1518,,,,,,
151,Antigua and Barbuda,ATG,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,
152,Aruba,ABW,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,
153,Bahamas,BHS,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,3.57,2.45,2.92,1998,,Yes
154,Barbados,BRB,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,2.17,1.06,1.61,2017,,Yes
155,"Bonaire, Sint Eustatius and Saba",BES,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,,,,,,1518,,,,,,
156,British Virgin Islands,VGB,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,
157,Cayman Islands,CYM,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,
158,Cuba,CUB,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,0.62,0.26,0.44,2017,,
159,Curaçao,CUW,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,
160,Dominica,DMA,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,,,,,,
161,Dominican Republic,DOM,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,2.30,1.60,1.95,2002,,Yes
162,Grenada,GRD,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,,,,,,
163,Guadeloupe,GLP,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,,,,,,1518,,,,,,
164,Haiti,HTI,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,941,,948,,1637,,,,,1500,,1.82,2.30,2.02,2002,,Yes
165,Jamaica,JAM,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,3.14,1.96,2.54,1999,,Yes
166,Martinique,MTQ,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,,,,,,1518,,,,,,
167,Montserrat,MSR,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,,,,,,1518,,,,,,
168,Puerto Rico,PRI,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,
169,Saint Barthélemy,BLM,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,,,,,,1518,,,,,,
170,Saint Kitts and Nevis,KNA,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,
171,Saint Lucia,LCA,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,,,,,,
172,Saint Martin (French part),MAF,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,
173,Saint Vincent and the Grenadines,VCT,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,,,,,,
174,Sint Maarten (Dutch part),SXM,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,
175,Trinidad and Tobago,TTO,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,1.62,0.84,1.21,2010,,Yes
176,Turks and Caicos Islands,TCA,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,
177,United States Virgin Islands,VIR,Caribbean,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,1503,,,,,,,,,,,
178,Central America,   ,,,,,,,,,,,,,,,,,,,,,,
179,Belize,BLZ,Central America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,1.98,1.77,1.88,2017,,Yes
180,Costa Rica,CRI,Central America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,,1517,1502,,,,0.56,0.24,0.40,2017,,
181,El Salvador,SLV,Central America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,,1517,,1501,,,0.83,0.41,0.60,2014,,
182,Guatemala,GTM,Central America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,,1517,1502,,,,0.66,0.35,0.49,2010,,
183,Honduras,HND,Central America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,,1517,,1501,,,1.83,0.75,1.28,1996,,Yes
184,Mexico,MEX,Central America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,,1517,1502,,,,0.43,0.13,0.28,2017,,
185,Nicaragua,NIC,Central America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,,1517,,1501,,,0.45,0.20,0.32,2004,,
186,Panama,PAN,Central America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,1503,,,,,,1.33,0.61,0.97,2017,,Yes
187,South America,   ,,,,,,,,,,,,,,,,,,,,,,
188,Argentina,ARG,South America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,1503,,,,,,0.57,0.28,0.43,2017,,
189,Bolivia (Plurinational State of),BOL,South America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,1636,,,1517,,1501,,,0.44,0.20,0.32,2017,,
190,Brazil,BRA,South America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,,1517,1502,,,,0.78,0.44,0.61,2017,,
191,Chile,CHL,South America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,1503,,,,,,0.81,0.32,0.57,2017,,
192,Colombia,COL,South America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,,1517,1502,,,,0.76,0.42,0.59,1999,,
193,Ecuador,ECU,South America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,,1517,1502,,,,0.52,0.23,0.37,2001,,
194,Falkland Islands (Malvinas),FLK,South America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,,,,,,1518,,,,,,
195,French Guiana,GUF,South America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,,,,,,1518,,,,,,
196,Guyana,GUY,South America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,1.73,1.65,1.69,2017,,Yes
197,Paraguay,PRY,South America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,1636,,,1517,1502,,,,0.64,0.30,0.47,2017,,
198,Peru,PER,South America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,,1517,1502,,,,0.89,0.36,0.62,1993,,
199,Suriname,SUR,South America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,1637,,1517,1502,,,,1.47,1.39,1.35,2017,,Yes
200,Uruguay,URY,South America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,1503,,,,,,0.86,0.36,0.59,2017,,
201,Venezuela (Bolivarian Republic of),VEN,South America,Latin America and the Caribbean,Latin America and the Caribbean,,902,,934,948,,,,1517,1502,,,,,,,,,
202,AUSTRALIA/NEW ZEALAND,   ,,,,,,,,,,,,,,,,,,,,,,
203,Australia,AUS,Australia/New Zealand,Australia/New Zealand,Oceania,901,,,,,,,1503,,,,,,0.20,0.03,0.11,2017,,
204,New Zealand,NZL,Australia/New Zealand,Australia/New Zealand,Oceania,901,,,,,,,1503,,,,,,0.18,0.06,0.12,2017,,
205,OCEANIA (excluding Australia and New Zealand),,,,,,,,,,,,,,,,,,,,,,,
206,Melanesia,   ,,,,,,,,,,,,,,,,,,,,,,
207,Fiji,FJI,Melanesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,1637,,1517,1502,,,,,,,,,
208,New Caledonia,NCL,Melanesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,1637,1503,,,,,,,,,,,
209,Papua New Guinea,PNG,Melanesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,1637,,1517,,1501,,,0.76,1.04,0.89,2004,,Yes
210,Solomon Islands,SLB,Melanesia,Oceania (excluding Australia and New Zealand),Oceania,,902,941,,948,,1637,,1517,,1501,,,,,,,,
211,Vanuatu,VUT,Melanesia,Oceania (excluding Australia and New Zealand),Oceania,,902,941,,948,,1637,,1517,,1501,,,,,,,,
212,Micronesia,   ,,,,,,,,,,,,,,,,,,,,,,
213,Guam,GUM,Micronesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,1637,1503,,,,,,,,,,,
214,Kiribati,KIR,Micronesia,Oceania (excluding Australia and New Zealand),Oceania,,902,941,,948,,1637,,1517,,1501,,,,,,,,
215,Marshall Islands,MHL,Micronesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,1637,,1517,1502,,,,,,,,,
216,Micronesia (Fed. States of),FSM,Micronesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,1637,,1517,,1501,,,,,,,,
217,Nauru,NRU,Micronesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,1637,,1517,1502,,,,,,,,,
218,Northern Mariana Islands,MNP,Micronesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,1637,1503,,,,,,,,,,,
219,Palau,PLW,Micronesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,1637,1503,,,,,,,,,,,
220,Polynesia,   ,,,,,,,,,,,,,,,,,,,,,,
221,American Samoa,ASM,Polynesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,1637,,1517,1502,,,,,,,,,
222,Cook Islands,COK,Polynesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,1637,,,,,,1518,,,,,,
223,French Polynesia,PYF,Polynesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,1637,1503,,,,,,,,,,,
224,Niue,NIU,Polynesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,1637,,,,,,1518,,,,,,
225,Samoa,WSM,Polynesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,1637,,1517,1502,,,,,,,,,
226,Tokelau,TKL,Polynesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,,,,,,,1518,,,,,,
227,Tonga,TON,Polynesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,1637,,1517,1502,,,,,,,,,
228,Tuvalu,TUV,Polynesia,Oceania (excluding Australia and New Zealand),Oceania,,902,941,,948,,1637,,1517,1502,,,,,,,,,
229,Wallis and Futuna Islands,WLF,Polynesia,Oceania (excluding Australia and New Zealand),Oceania,,902,,934,948,,,,,,,,1518,,,,,,
230,EUROPE AND NORTHERN AMERICA,,,,,,,,,,,,,,,,,,,,,,,
231,EUROPE,   ,,,,,,,,,,,,,,,,,,,,,,
232,Eastern Europe,   ,,,,,,,,,,,,,,,,,,,,,,
233,Belarus,BLR,Eastern Europe,Europe,Europe,901,,,,,,,,1517,1502,,,,0.49,0.40,0.45,2017,,
234,Bulgaria,BGR,Eastern Europe,Europe,Europe,901,,,,,,,,1517,1502,,,,0.11,0.03,0.07,2017,,
235,Czechia,CZE,Eastern Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.08,0.01,0.05,2017,,
236,Hungary,HUN,Eastern Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.08,0.01,0.05,2017,,
237,Poland,POL,Eastern Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
238,Republic of Moldova,MDA,Eastern Europe,Europe,Europe,901,,,,,1636,,,1517,,1501,,,0.69,0.42,0.56,2017,,
239,Romania,ROU,Eastern Europe,Europe,Europe,901,,,,,,,,1517,1502,,,,0.19,0.10,0.15,2017,,
240,Russian Federation,RUS,Eastern Europe,Europe,Europe,901,,,,,,,,1517,1502,,,,1.42,0.88,1.15,2017,,Yes
241,Slovakia,SVK,Eastern Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.04,0.02,0.03,2017,,
242,Ukraine,UKR,Eastern Europe,Europe,Europe,901,,,,,,,,1517,,1501,,,1.22,0.87,0.97,2006,,Yes
243,Northern Europe,   ,,,,,,,,,,,,,,,,,,,,,,
244,Channel Islands,CHI,Northern Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
245,Denmark,DNK,Northern Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.22,0.10,0.16,2007,,
246,Estonia,EST,Northern Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.87,0.44,0.66,2017,,
247,Faroe Islands,FRO,Northern Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
248,Finland,FIN,Northern Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
249,Iceland,ISL,Northern Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
250,Ireland,IRL,Northern Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.28,0.15,0.22,2017,,
251,Isle of Man,IMN,Northern Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
252,Latvia,LVA,Northern Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
253,Lithuania,LTU,Northern Europe,Europe,Europe,901,,,,,,,1503,,,,,,0.22,0.10,0.16,2017,,
254,Norway,NOR,Northern Europe,Europe,Europe,901,,,,,,,1503,,,,,,,,,,,
